Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675629784.6817513,0,74576,0,GPS1_Frame,42.204361,-71.058181,13.3,1.1,330089.19457292976,4674517.1731741065,0.0,19,T
1675629785.6803436,0,74577,0,GPS1_Frame,42.204361,-71.058181,13.3,1.1,330089.19457292976,4674517.1731741065,0.0,19,T
1675629786.6801844,0,74578,0,GPS1_Frame,42.204362,-71.05818199999999,13.3,1.1,330089.11469627335,4674517.286207139,0.0,19,T
1675629787.7029502,0,74579,0,GPS1_Frame,42.204364,-71.058185,13.3,1.1,330088.8723855858,4674517.51426631,0.0,19,T
1675629788.6810098,0,74580,0,GPS1_Frame,42.204366,-71.058188,13.3,1.1,330088.6300749119,4674517.742325491,0.0,19,T
1675629789.6817505,0,74581,0,GPS1_Frame,42.204369,-71.058191,13.3,1.1,330088.39044500026,4674518.081424609,0.0,19,T
1675629790.6789727,0,74582,0,GPS1_Frame,42.204372000000006,-71.058196,13.4,1.1,330087.9857003618,4674518.42450997,0.0,19,T
1675629791.6796963,0,74583,0,GPS1_Frame,42.204374,-71.058201,14.0,1.1,330087.5782750072,4674518.656555428,0.0,19,T
1675629792.6795166,0,74584,0,GPS1_Frame,42.204378,-71.058206,14.4,1.1,330087.1762112072,4674519.110680765,0.0,19,T
1675629793.680517,0,74585,0,GPS1_Frame,42.204381999999995,-71.05821200000001,14.5,1.1,330086.6915900967,4674519.566799261,0.0,19,T
1675629794.6787999,0,74586,0,GPS1_Frame,42.204385,-71.05821700000001,14.6,1.1,330086.28684562864,4674519.909884725,0.0,19,T
1675629795.6796975,0,74587,0,GPS1_Frame,42.204388,-71.058221,14.7,1.1,330085.9646585536,4674520.25097707,0.0,19,T
1675629796.6803188,0,74588,0,GPS1_Frame,42.204390999999994,-71.058225,14.7,1.1,330085.6424715103,4674520.592069431,0.0,19,T
1675629797.6785629,0,74589,0,GPS1_Frame,42.204395000000005,-71.05823099999999,14.8,1.1,330085.1578506048,4674521.04818804,0.0,19,T
1675629798.678428,0,74590,0,GPS1_Frame,42.20439999999999,-71.05823699999999,15.0,1.1,330084.6759105682,4674521.61534661,0.0,19,T
1675629799.6793847,0,74591,0,GPS1_Frame,42.204404999999994,-71.058244,15.2,1.1,330084.1114132796,4674522.184498381,0.0,19,T
1675629800.681126,0,74592,0,GPS1_Frame,42.204409999999996,-71.05825,15.2,1.1,330083.6294734083,4674522.75165703,0.0,19,T
1675629801.6814094,0,74593,0,GPS1_Frame,42.204414,-71.058255,15.2,1.1,330083.2274101027,4674523.205782609,0.0,19,T
1675629802.6798427,0,74594,0,GPS1_Frame,42.20441700000001,-71.058259,15.2,1.1,330082.90522333136,4674523.546875106,0.0,19,T
1675629803.6798038,0,74595,0,GPS1_Frame,42.204421,-71.05826400000001,15.3,1.1,330082.5031601196,4674524.00100073,0.0,19,T
1675629804.6791375,0,74596,0,GPS1_Frame,42.204423,-71.058268,15.2,1.1,330082.1782925754,4674524.231053334,0.0,19,T
1675629805.6804025,0,74597,0,GPS1_Frame,42.204426999999995,-71.05827199999999,15.3,1.1,330081.8587867537,4674524.683185807,0.0,19,T
1675629806.6786907,0,74598,0,GPS1_Frame,42.20443,-71.05827599999999,15.4,1.1,330081.5366001183,4674525.0242783725,0.0,19,T
1675629807.6796741,0,74599,0,GPS1_Frame,42.204433,-71.05828,15.5,1.1,330081.2144135146,4674525.365370951,0.0,19,T
1675629808.679752,0,74600,0,GPS1_Frame,42.204435999999994,-71.058284,15.7,1.1,330080.89222694037,4674525.706463545,0.0,19,T
1675629809.6802027,0,74601,0,GPS1_Frame,42.204440000000005,-71.058288,15.9,1.1,330080.57272127236,4674526.158596085,0.0,19,T
1675629810.6794658,0,74602,0,GPS1_Frame,42.204443,-71.05829200000001,15.9,1.1,330080.250534769,4674526.499688711,0.0,19,T
1675629811.6779258,0,74603,0,GPS1_Frame,42.204447,-71.05829700000001,15.9,1.1,330079.84847190336,4674526.953814499,0.0,19,T
