Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675629060.6726594,0,73852,0,GPS1_Frame,42.204504,-71.05814,9.4,1.0,330092.9627632429,4674532.97016724,0.0,19,T
1675629061.6713793,0,73853,0,GPS1_Frame,42.204504,-71.05814199999999,9.2,1.0,330092.797648839,4674532.974153372,0.0,19,T
1675629062.6695616,0,73854,0,GPS1_Frame,42.204503,-71.058143,9.1,1.0,330092.71241094836,4674532.865106512,0.0,19,T
1675629063.6730525,0,73855,0,GPS1_Frame,42.204503,-71.05814199999999,9.1,1.0,330092.7949681516,4674532.863113444,0.0,19,T
1675629064.6708443,0,73856,0,GPS1_Frame,42.204503,-71.058143,9.1,1.0,330092.71241094836,4674532.865106512,0.0,19,T
1675629065.6698828,0,73857,0,GPS1_Frame,42.204503,-71.058143,9.1,1.0,330092.71241094836,4674532.865106512,0.0,19,T
1675629066.6685958,0,73858,0,GPS1_Frame,42.204503,-71.058143,9.1,1.0,330092.71241094836,4674532.865106512,0.0,19,T
1675629067.670677,0,73859,0,GPS1_Frame,42.204503,-71.058143,9.1,1.0,330092.71241094836,4674532.865106512,0.0,19,T
1675629068.6715271,0,73860,0,GPS1_Frame,42.204503,-71.058143,9.2,1.0,330092.71241094836,4674532.865106512,0.0,19,T
1675629069.6717284,0,73861,0,GPS1_Frame,42.204503,-71.058143,9.2,1.0,330092.71241094836,4674532.865106512,0.0,19,T
1675629070.6695127,0,73862,0,GPS1_Frame,42.204504,-71.058144,9.2,1.0,330092.6325344351,4674532.9781395085,0.0,19,T
1675629071.6714084,0,73863,0,GPS1_Frame,42.204504,-71.058144,9.2,1.0,330092.6325344351,4674532.9781395085,0.0,19,T
1675629072.6711497,0,73864,0,GPS1_Frame,42.204504,-71.058144,9.2,1.0,330092.6325344351,4674532.9781395085,0.0,19,T
1675629073.671583,0,73865,0,GPS1_Frame,42.204504,-71.058144,9.2,1.0,330092.6325344351,4674532.9781395085,0.0,19,T
1675629074.6712487,0,73866,0,GPS1_Frame,42.204504,-71.058144,9.2,1.0,330092.6325344351,4674532.9781395085,0.0,19,T
1675629075.6912713,0,73867,0,GPS1_Frame,42.204504,-71.058144,9.2,1.0,330092.6325344351,4674532.9781395085,0.0,19,T
1675629076.6910822,0,73868,0,GPS1_Frame,42.204504,-71.058144,9.2,1.0,330092.6325344351,4674532.9781395085,0.0,19,T
1675629077.6714122,0,73869,0,GPS1_Frame,42.204504,-71.058144,9.2,1.0,330092.6325344351,4674532.9781395085,0.0,19,T
1675629078.6698534,0,73870,0,GPS1_Frame,42.204504,-71.058144,9.2,1.0,330092.6325344351,4674532.9781395085,0.0,19,T
1675629079.6700191,0,73871,0,GPS1_Frame,42.204504,-71.058144,9.2,1.1,330092.6325344351,4674532.9781395085,0.0,19,T
1675629080.6703868,0,73872,0,GPS1_Frame,42.204504,-71.058143,9.2,1.1,330092.715091637,4674532.97614644,0.0,19,T
1675629081.6733022,0,73873,0,GPS1_Frame,42.204504,-71.058143,9.2,1.0,330092.715091637,4674532.97614644,0.0,19,T
1675629082.6706545,0,73874,0,GPS1_Frame,42.204504,-71.058143,9.2,1.1,330092.715091637,4674532.97614644,0.0,19,T
1675629083.6716464,0,73875,0,GPS1_Frame,42.204504,-71.058143,9.2,1.1,330092.715091637,4674532.97614644,0.0,19,T
1675629084.6669931,0,73876,0,GPS1_Frame,42.204504,-71.058143,9.2,1.1,330092.715091637,4674532.97614644,0.0,19,T
1675629085.666486,0,73877,0,GPS1_Frame,42.204504,-71.058143,9.2,1.1,330092.715091637,4674532.97614644,0.0,19,T
1675629086.666115,0,73878,0,GPS1_Frame,42.204504,-71.058143,9.2,1.1,330092.715091637,4674532.97614644,0.0,19,T
1675629087.666308,0,73879,0,GPS1_Frame,42.204504,-71.058143,9.2,1.4,330092.715091637,4674532.97614644,0.0,19,T
