Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675467633.58929,0,85237,0,GPS1_Frame,42.20331100000001,-71.052921,22.1,2.0,330520.6388264653,4674390.110980733,0.0,19,T
1675467634.588794,0,85238,0,GPS1_Frame,42.20331100000001,-71.052921,22.1,2.0,330520.6388264653,4674390.110980733,0.0,19,T
1675467635.5887113,0,85239,0,GPS1_Frame,42.20331100000001,-71.052921,22.1,2.0,330520.6388264653,4674390.110980733,0.0,19,T
1675467636.5879858,0,85240,0,GPS1_Frame,42.20331100000001,-71.052919,22.2,2.0,330520.8039439266,4674390.107004738,0.0,19,T
1675467637.5901136,0,85241,0,GPS1_Frame,42.20331,-71.05291799999999,22.3,2.0,330520.88382884045,4674389.99397687,0.0,19,T
1675467638.5887926,0,85242,0,GPS1_Frame,42.20331,-71.05291799999999,22.3,2.0,330520.88382884045,4674389.99397687,0.0,19,T
1675467639.5908308,0,85243,0,GPS1_Frame,42.20331,-71.052917,22.3,2.0,330520.96638757456,4674389.991988875,0.0,19,T
1675467640.5882676,0,85244,0,GPS1_Frame,42.20331,-71.052916,22.3,2.0,330521.04894630436,4674389.990000881,0.0,19,T
1675467641.588453,0,85245,0,GPS1_Frame,42.20331,-71.052916,22.3,2.0,330521.04894630436,4674389.990000881,0.0,19,T
1675467642.5890832,0,85246,0,GPS1_Frame,42.20331,-71.052916,22.3,2.0,330521.04894630436,4674389.990000881,0.0,19,T
1675467643.5887322,0,85247,0,GPS1_Frame,42.20331,-71.052914,22.5,2.0,330521.2140637682,4674389.986024897,0.0,19,T
1675467644.624378,0,85248,0,GPS1_Frame,42.20331,-71.052914,22.5,2.0,330521.2140637682,4674389.986024897,0.0,19,T
1675467645.589314,0,85249,0,GPS1_Frame,42.20331,-71.052914,22.5,2.0,330521.2140637682,4674389.986024897,0.0,19,T
1675467646.5885801,0,85250,0,GPS1_Frame,42.20331,-71.052914,22.5,2.0,330521.2140637682,4674389.986024897,0.0,19,T
1675467647.5849526,0,85251,0,GPS1_Frame,42.20331,-71.052914,22.4,3.9,330521.2140637682,4674389.986024897,0.0,19,T
1675467648.5909214,0,85252,0,GPS1_Frame,42.20331,-71.052914,22.4,2.0,330521.2140637682,4674389.986024897,0.0,19,T
1675467649.5892322,0,85253,0,GPS1_Frame,42.20331,-71.052914,22.4,2.0,330521.2140637682,4674389.986024897,0.0,19,T
1675467650.5888705,0,85254,0,GPS1_Frame,42.20331,-71.052914,22.4,2.0,330521.2140637682,4674389.986024897,0.0,19,T
1675467651.5898418,0,85255,0,GPS1_Frame,42.20331,-71.052914,22.4,2.0,330521.2140637682,4674389.986024897,0.0,19,T
1675467652.5890098,0,85256,0,GPS1_Frame,42.20331,-71.052914,22.4,2.0,330521.2140637682,4674389.986024897,0.0,19,T
1675467653.6234162,0,85257,0,GPS1_Frame,42.20331100000001,-71.05291299999999,22.5,2.0,330521.2992963083,4674390.095076778,0.0,19,T
1675467654.590671,0,85258,0,GPS1_Frame,42.20331100000001,-71.05291299999999,22.5,2.0,330521.2992963083,4674390.095076778,0.0,19,T
1675467655.5905223,0,85259,0,GPS1_Frame,42.20331100000001,-71.05291299999999,22.5,2.0,330521.2992963083,4674390.095076778,0.0,19,T
1675467656.5916042,0,85260,0,GPS1_Frame,42.20331100000001,-71.05291299999999,22.5,2.0,330521.2992963083,4674390.095076778,0.0,19,T
1675467657.590222,0,85261,0,GPS1_Frame,42.20331100000001,-71.05291299999999,22.5,2.0,330521.2992963083,4674390.095076778,0.0,19,T
1675467658.5888624,0,85262,0,GPS1_Frame,42.20331100000001,-71.05291199999999,22.5,2.0,330521.3818550389,4674390.093088789,0.0,19,T
1675467659.625609,0,85263,0,GPS1_Frame,42.20331,-71.052911,22.5,2.0,330521.4617399619,4674389.980060927,0.0,19,T
1675467660.5882385,0,85264,0,GPS1_Frame,42.20331,-71.052911,22.4,2.0,330521.4617399619,4674389.980060927,0.0,19,T
1675467661.624536,0,85265,0,GPS1_Frame,42.20331,-71.052911,22.4,2.0,330521.4617399619,4674389.980060927,0.0,19,T
1675467662.5884032,0,85266,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467663.5902855,0,85267,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467664.5899267,0,85268,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467665.5899289,0,85269,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467666.5893216,0,85270,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467667.5899312,0,85271,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467668.6268783,0,85272,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467669.590784,0,85273,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467670.590476,0,85274,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467671.5895085,0,85275,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467672.5898333,0,85276,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467673.5891588,0,85277,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467674.5881019,0,85278,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467675.589908,0,85279,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467676.5895388,0,85280,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467677.5891476,0,85281,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467678.5900466,0,85282,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467679.5899122,0,85283,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467680.59213,0,85284,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467681.5919302,0,85285,0,GPS1_Frame,42.20331,-71.05291000000001,22.5,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
